State,},DC,ToCoda,DC.Coda,Coda,Fine,DC.Fine,Segno,DS.Fine,DS,DS.Coda,:|,{,[,],|:,bar,X,ts,bo,&,$,S,L,E,LEND,ND,
I153,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I154,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s236,s237,.,s238,s239,s240,.,.,.,s235,.,.,
I155,.,.,.,.,.,.,.,.,.,.,.,s241,.,.,.,s156,s157,.,s158,s159,s160,.,.,.,s242,.,.,
I156,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s156,s157,.,s158,s159,s160,.,.,.,s243,.,.,
I157,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,s244,r0,r0,r0,.,.,.,.,.,.,
I158,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I159,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I160,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I161,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I162,.,.,.,.,.,.,.,.,.,.,.,.,.,s245,.,.,.,.,.,.,.,.,.,.,.,.,.,
I163,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s156,s157,.,s158,s159,s160,.,.,.,s246,.,.,
I164,.,.,.,.,.,.,.,.,.,.,.,s248,.,.,s247,s165,s166,.,s167,s168,s169,.,.,.,s249,.,.,
I165,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s251,s252,.,s253,s254,s255,.,.,.,s250,.,.,
I166,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,s256,r0,r0,r0,.,.,.,.,.,.,
I167,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I168,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I169,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I170,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I171,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0s108,r0s109,.,r0s110,r0s111,r0s112,.,.,.,s171,.,.,
I172,.,.,.,.,.,.,.,.,.,.,.,s257,.,s259,.,s108,s109,.,s110,s111,s112,.,.,.,s171,.,s258,
I173,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I174,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s261,s262,.,s263,s264,s265,.,.,.,s260,.,.,
I175,.,.,.,.,.,.,.,.,.,.,.,s266,.,.,.,s176,s177,.,s178,s179,s180,.,.,.,s267,.,.,
I176,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s176,s177,.,s178,s179,s180,.,.,.,s268,.,.,
I177,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,s269,r0,r0,r0,.,.,.,.,.,.,
I178,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I179,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I180,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I181,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I182,.,.,.,.,.,.,.,.,.,.,.,.,.,s270,.,.,.,.,.,.,.,.,.,.,.,.,.,
I183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s176,s177,.,s178,s179,s180,.,.,.,s271,.,.,
